Name,Percent Male,Percent Female
Antwaun,0,0
Arcelia,0,0
Devansh,0,0
Man,0,0
Itza,0,0
Khalel,0,0
Dontarius,0,0
Sofija,0,0
Khaled,0,0
Brighten,0.6875,0.3125
Khalea,0,0
Holten,0,0
Eliyanna,0,0
Kristian,0.9145496535796767,0.08545034642032333
Abijah,0,0
Adeoluwa,0,0
Pharaoh,0,0
Naomee,0,0
Eshana,0,0
Eyonna,0,0
Eshani,0,0
Zya,0,0
Tamzin,0,0
Xiadani,0,0
Camylle,0,0
Seneca,0.4166666666666667,0.5833333333333334
Besan,0,0
Zanayah,0,0
Gurveer,0,0
Lindzey,0,0
Ikechi,0,0
Sheya,0,0
Finlee,0.14705882352941177,0.8529411764705882
Satya,0,0
Khamar,0,0
Yazhini,0,0
Jaleeah,0,0
Celia,0,0
Kyleigha,0,0
Fajr,0,0
Finley,0.3562526858616244,0.6437473141383756
Katalya,0,0
Malayjah,0,0
Jasher,0,0
Calder,0,0
Livier,0,0
Sabrine,0,0
Audreyanna,0,0
Sabrina,0,0
Torian,0.8,0.2
Toriah,0,0
Hayslee,0,0
Amiliah,0,0
Sakeena,0,0
Braley,0,0
Havick,0,0
Rodriguez,0,0
Maelynn,0,0
Couture,0,0
Ammie,0,0
Berel,0,0
Eriyah,0,0
Beren,0.6666666666666666,0.3333333333333333
Nesochi,0,0
Leriyah,0,0
Damare,0,0
Naleah,0,0
Ladd,0,0
Janai,0.06944444444444445,0.9305555555555556
Janae,0,0
Savion,0,0
Damir,0,0
Zylynn,0,0
Nitin,0,0
Janay,0,0
Savior,0,0
Amadeo,0,0
Amadea,0,0
Lady,0,0
Laila,0,0
Gracious,0,0
Faryn,0,0
Jaeshaun,0,0
Lakelynn,0,0
Jaasritha,0,0
Grigor,0,0
Ellena,0,0
Italya,0,0
Srikar,0,0
Elleni,0,0
Cherif,0,0
Lyriq,0.15789473684210525,0.8421052631578947
Biak,0.46153846153846156,0.5384615384615384
Kentrail,0,0
Lyrix,0,0
Lyric,0.17406143344709898,0.825938566552901
Lyrik,0.39552238805970147,0.6044776119402985
Dreysen,0,0
Jamaar,0,0
Caiyah,0,0
Braidon,0,0
Camielle,0,0
Jamaal,0,0
Kyliyah,0,0
Brently,0,0
Madigan,0,0
Kerah,0,0
Desaray,0,0
Jalaya,0,0
Joliene,0,0
Erilynn,0,0
Treazure,0,0
Desarae,0,0
Chamille,0,0
Wilkes,0,0
Melany,0,0
Evonny,0,0
Melani,0,0
Evonne,0,0
Melana,0,0
Evonna,0,0
Yetzali,0,0
Jacayden,0,0
Reyes,0,0
Romina,0,0
Kyon,0,0
Wylde,0,0
Siyam,0,0
Yiannis,0,0
Kiannah,0,0
Janasia,0,0
Maeson,0.8269230769230769,0.17307692307692307
Baisley,0,0
Zeyah,0,0
Mariyah,0,0
Mariyam,0,0
Tamarius,0,0
Charlii,0,0
Hira,0,0
Hiro,0,0
Charlie,0.5383623468729851,0.4616376531270148
Huntley,0.675,0.325
Huntlee,0.3125,0.6875
Spencer,0.8812170860152135,0.11878291398478642
Justino,0,0
Arina,0,0
Zanari,0,0
Bhoomi,0,0
Justine,0.06481481481481481,0.9351851851851852
Sadiemae,0,0
Justina,0,0
Ilya,0.7380952380952381,0.2619047619047619
Ayeza,0,0
Nubaid,0,0
Elijiah,0,0
Tyree,0,0
Filip,0,0
Richmond,0,0
Cymone,0,0
Laynee,0,0
Havyn,0,0
Crash,0,0
Katelyn,0,0
Kalyse,0,0
Fayez,0,0
Alitza,0,0
Abbeygail,0,0
Kamarri,0,0
Layney,0,0
Conlon,0,0
Alimah,0,0
Rhyann,0,0
Lexiann,0,0
Lexiana,0,0
Raji,0,0
Abdulai,0,0
Elesia,0,0
Raja,0.6842105263157895,0.3157894736842105
Madlynn,0,0
Maitte,0,0
Lilliyan,0,0
Gianny,0.4444444444444444,0.5555555555555556
Akaylah,0,0
Melchor,0,0
Bayden,0,0
Crystina,0,0
Nejla,0,0
Nalini,0,0
Macrae,0,0
Nalina,0,0
Frances,0,0
Lissandro,0,0
Bastian,0,0
Dailany,0,0
Lissandra,0,0
Janari,0,0
Ipek,0,0
Emil,0,0
Emin,0,0
Zorion,0,0
Emie,0,0
Briant,0,0
Chaz,0,0
Briani,0,0
Briann,0,0
Antwoine,0,0
Briana,0,0
Amartya,0,0
Emit,0,0
Nery,0.8536585365853658,0.14634146341463414
Sihaam,0,0
Yosgart,0,0
Neri,0.5357142857142857,0.4642857142857143
Nero,0,0
Abhinaya,0,0
Zniyah,0,0
Hanako,0,0
Nathanyel,0,0
Afton,0.14782608695652175,0.8521739130434782
Jedi,0,0
Leonna,0,0
Jedd,0,0
Kiriana,0,0
Sameria,0,0
Lizzie,0,0
Broghan,0,0
Sakina,0,0
Deklan,0,0
Aaira,0,0
Brysen,0,0
Minahil,0,0
Kase,0,0
Sevana,0,0
Senaya,0,0
Cabela,0,0
Noralyn,0,0
Conall,0,0
Oswald,0,0
Amberrose,0,0
Tanasia,0,0
Safeer,0,0
Weldon,0,0
Tamani,0,0
Tahiya,0,0
Riggs,0,0
Athira,0,0
Kaevion,0,0
Zamarah,0,0
Makira,0,0
Mareli,0,0
Steeler,0,0
Odyn,0,0
Nina,0,0
Gretel,0,0
Marely,0,0
Kenard,0,0
Kenari,0,0
Nino,0,0
Keaka,0,0
Zanovia,0,0
Ashvin,0,0
Nasreen,0,0
Ashvik,0,0
Fawaz,0,0
Orchid,0,0
Allyna,0,0
Dalal,0,0
Cache,0,0
Curtiss,0,0
Jamele,0,0
Kellsey,0,0
Xzaiden,0,0
Monreaux,0,0
Kwabena,0,0
Sereniti,0,0
Luqman,0,0
Kahealani,0,0
Sukayna,0,0
Serenity,0.0016313213703099511,0.99836867862969
Adeel,0,0
Bethannie,0,0
Adeeb,0,0
Payzlie,0,0
Treble,0,0
Sudays,0,0
Jaydyn,0.6333333333333333,0.36666666666666664
Jalicia,0,0
Shiloh,0.28484848484848485,0.7151515151515152
Naftoli,0,0
Jeramyah,0,0
Zalayah,0,0
Cheyann,0,0
Greycen,0,0
Halimah,0,0
Emmrie,0,0
Khalen,0,0
Isobel,0,0
Allyson,0,0
Tavyn,0,0
Yadel,0,0
Yaden,0,0
Zaphira,0,0
Addie,0,0
Demetre,0,0
Ezavier,0,0
Demetra,0,0
Trevaughn,0,0
Addis,0.5714285714285714,0.42857142857142855
Demetri,0,0
Eithan,0,0
Treyvin,0,0
Avya,0,0
Avyn,0.3076923076923077,0.6923076923076923
Mirena,0,0
Ilda,0,0
Tarvis,0,0
Maylene,0,0
Charitee,0,0
Hal,0,0
Han,0.6060606060606061,0.3939393939393939
Hao,0,0
Malasia,0,0
Deeya,0,0
Yasmeen,0,0
Zanaya,0,0
Hau,0.4666666666666667,0.5333333333333333
Melodie,0,0
Epifanio,0,0
Graisen,0,0
Niveen,0,0
Khloi,0,0
Annajoy,0,0
Sequoia,0.16455696202531644,0.8354430379746836
Peytin,0,0
Zelene,0,0
Khloe,0,0
Zelena,0,0
Anayla,0,0
Marycarmen,0,0
Lestat,0,0
Olumide,0,0
Jadrian,0,0
Clarissa,0,0
Blayze,0.9324324324324325,0.06756756756756757
Clarisse,0,0
Carley,0,0
Carliee,0,0
Carles,0,0
Carlei,0,0
Carlee,0,0
Carlea,0,0
Maisen,0.75,0.25
Maisey,0,0
Fiora,0,0
Ashli,0,0
Lejla,0,0
Krislynn,0,0
Safaa,0,0
Alexcia,0,0
Izyck,0,0
Ianna,0,0
Ashly,0,0
Peggy,0,0
Jacarri,0,0
Haani,0,0
Carman,0,0
Kristyn,0,0
Erikson,0,0
Miciah,0.5714285714285714,0.42857142857142855
Lunna,0,0
Kaeden,0.9714285714285714,0.02857142857142857
Elara,0,0
Fulton,0,0
Zailey,0,0
Neil,0,0
Braston,0,0
Kordell,0,0
Jadelyn,0,0
Nelah,0,0
Acasia,0,0
Clyde,0,0
Leyanna,0,0
Itzayana,0,0
Jaesean,0,0
Feather,0,0
Aryssa,0,0
Itzayani,0,0
Cary,0.75,0.25
Leiby,0,0
Nyzir,0,0
Cari,0,0
Mahelet,0,0
Carl,0,0
Cara,0,0
Polly,0,0
Aevin,0,0
Elenora,0,0
Jaxyn,0.84,0.16
Cheveyo,0,0
Laryiah,0,0
Harriet,0,0
Milaina,0,0
Macalister,0,0
Michel,0.6944444444444444,0.3055555555555556
Marken,0,0
Markel,0,0
Whisper,0,0
Nesta,0,0
Colston,0,0
Markez,0,0
Ramaya,0,0
Jailani,0,0
Paylin,0,0
Shamara,0,0
Shamari,0.43333333333333335,0.5666666666666667
Ceniyah,0,0
Shamarr,0,0
Jayla,0,0
Tacari,0,0
Sorren,0,0
Sorrel,0,0
Ghaleb,0,0
Aavyn,0,0
Yohannes,0,0
Larenz,0,0
Ameira,0,0
Aavya,0,0
Amzie,0,0
Karrah,0,0
Osinachi,0,0
Raphael,0,0
Nehemie,0,0
Korrine,0,0
Kimberlly,0,0
Korrina,0,0
Zahki,0,0
Itzuri,0,0
Manna,0,0
Kary,0,0
Fabrizio,0,0
Xochil,0,0
Kennard,0,0
Manny,0,0
Kara,0,0
Kari,0.043859649122807015,0.956140350877193
Karl,0,0
Karm,0,0
Jenaya,0,0
Mylie,0,0
Mylia,0,0
Mylin,0.35714285714285715,0.6428571428571429
Alyric,0,0
Alyria,0,0
Okalani,0,0
Myron,0,0
Danylo,0,0
Danyla,0,0
Inshirah,0,0
Brandi,0,0
